Price,Close,High,Low,Open,Volume
Ticker,MMM,MMM,MMM,MMM,MMM
Date,,,,,
2000-01-03,19.612268447875977,20.053869322474483,19.547328090905417,19.962952443468716,2599386
2000-01-04,18.832979202270508,19.703191951151215,18.832979202270508,19.300554814870097,3245705
2000-01-05,19.37848472595215,20.001919457655465,18.936883781162358,18.936883781162358,4424482
2000-01-06,20.937082290649414,21.30075379401294,19.5992916371087,19.5992916371087,7147057
2000-01-07,21.352699279785156,21.573500705070877,20.768228376575475,21.015004432351603,4905035
2000-01-10,21.24880027770996,21.50856563182265,20.781222640307128,20.872141462364514,4621105
2000-01-11,20.885112762451172,21.30073701023534,20.885112762451172,20.937065793424193,2819690
2000-01-12,20.937082290649414,21.534542617603776,20.937082290649414,21.183860330335484,3430606
2000-01-13,20.937082290649414,21.170871114240253,20.8591526827858,21.053977650562796,2684302
2000-01-14,20.638343811035156,20.976038626857807,20.560414238153005,20.937072892299195,3039993
2000-01-18,20.183753967285156,20.62535488639949,20.183753967285156,20.209732388174043,2529301
2000-01-19,20.534440994262695,20.768229750257206,20.31363955437241,20.31363955437241,3143327
2000-01-20,19.768136978149414,20.651337166277916,19.63825242244847,20.586396784663073,3713102
2000-01-21,19.72917366027832,20.06686861644854,19.65124405500827,19.794114049885433,5372193
2000-01-24,19.274580001831055,19.911003990317685,19.040791249609065,19.911003990317685,3553316
2000-01-25,18.98883628845215,19.716179000170108,18.75504755968566,19.716179000170108,4414675
2000-01-26,20.014907836914062,20.26168577333308,19.807095636239158,19.92399094723636,8396877
2000-01-27,20.001920700073242,20.430534356521893,19.962956856524453,20.196745606523173,3486101
2000-01-28,19.170679092407227,19.911009393908603,19.170679092407227,19.898020178253493,4481890
2000-01-31,19.456422805786133,20.235719007167766,19.131717003328564,19.17068276151576,3926229
2000-02-01,19.56032371520996,19.98893745903118,19.482396012226882,19.61227678135582,3160071
2000-02-02,19.222631454467773,19.5343498638776,19.118723421762038,19.36550144399605,3497343
2000-02-03,19.05377960205078,19.14469840320087,18.703097402757965,19.105732660926417,4210638
2000-02-04,18.50826644897461,19.209632515105366,18.50826644897461,19.105726431234142,3938906
2000-02-07,18.20953941345215,18.573208850858922,18.001727222799683,18.547234223262404,4706738
2000-02-08,18.222522735595703,18.742053098423423,18.17056969931293,18.209535424642322,3449264
2000-02-09,18.20953941345215,18.49528117559929,18.183562889620593,18.417351604104613,3110078
2000-02-10,17.871843338012695,18.1316085579325,17.72897151893935,18.1316085579325,4807920
2000-02-11,17.23541831970215,17.975750175458305,16.89772351972662,17.74196146778294,5371954
2000-02-14,17.222431182861328,17.612079032981946,17.11852508949583,17.30036075288545,4014254
2000-02-15,18.521255493164062,18.819984533524618,17.352312059989426,17.404265101463853,4468256
2000-02-16,18.3524112701416,18.7810249064079,18.19655211081481,18.365400481536454,3087833
2000-02-17,18.62516212463379,19.092741455513348,18.48229218994328,18.49528140013427,4072858
2000-02-18,18.196550369262695,18.845963470970418,17.94977433873129,18.67711701264394,3425583
2000-02-22,18.729063034057617,18.794003371746708,17.975744118704963,18.235509261930016,3449982
2000-02-23,19.307918548583984,19.647800746496536,18.994181135126247,19.111833619431767,5335117
2000-02-24,19.03339195251465,19.26869685430464,18.732727970924675,19.21640730024402,4545039
2000-02-25,17.935312271118164,18.68043742256274,17.817659826485443,18.43206300825358,4338131
2000-02-28,18.079111099243164,18.588935277616816,17.77844707517771,18.18369022213853,3679614
2000-02-29,18.445148468017578,18.654306832177056,17.70002274995871,17.84381817105908,3307418
2000-03-01,18.013750076293945,18.353632225224676,17.791518486195887,18.23597975787454,3458354
2000-03-02,18.000680923461914,18.353636499186685,17.922246563136177,18.01375427110849,2614456
2000-03-03,18.719661712646484,19.791595958761388,18.301345164497167,18.35363473301583,5478876
2000-03-06,18.249061584472656,19.085693046797143,18.249061584472656,18.68044971205432,2454910
2000-03-07,17.307844161987305,18.588938649860605,17.150975449186493,18.458214722526595,6213938
2000-03-08,17.268627166748047,17.621582748052553,16.94181828115003,17.33399008897841,5613067
2000-03-09,16.92874526977539,17.137903571441125,16.83723946705562,16.902600482067175,3896807
2000-03-10,17.046396255493164,17.294770762413748,16.81109318700734,16.863382757781967,6878914
2000-03-13,16.523494720458984,16.837232034462023,16.471205168125145,16.523494720458984,4530209
2000-03-14,16.549654006958008,16.732667600588293,16.432003365312227,16.562725452243626,3775294
2000-03-15,17.255552291870117,17.517000111702018,16.353556359191295,16.353556359191295,5071040
2000-03-16,18.418996810913086,18.667373230084667,17.556218880163826,17.726160941994564,5746541
2000-03-17,17.961469650268555,18.65430573659681,17.961469650268555,18.183699444877018,4865567
2000-03-20,18.196765899658203,18.366706041891458,17.856883706673983,17.974534280755822,3262210
2000-03-21,18.915735244750977,19.137964822816613,18.105247420981364,18.157536957998758,4577810
2000-03-22,17.987606048583984,18.693513248164866,17.7784477943326,18.615080811338135,5268141
2000-03-23,18.196765899658203,18.249055467809622,17.726159786295437,17.726159786295437,5946512
2000-03-24,19.00726318359375,19.504014315659756,18.75888666330144,18.82424960862206,7086300
2000-03-27,18.536645889282227,19.229481630675682,18.432066765410198,19.020323382931622,3892023
2000-03-28,18.588937759399414,18.94189139203489,18.327489917255466,18.40592426989865,2927808
2000-03-29,18.32748794555664,18.615080540975338,18.275198382753242,18.615080540975338,3923837
2000-03-30,18.615076065063477,19.190259209083145,18.327483538795114,18.418989297440156,3774337
2000-03-31,18.523582458496094,19.24256336566139,18.523582458496097,18.902682939688287,2941203
2000-04-03,19.216415405273438,19.320994557503692,18.667374856064598,18.693517735604164,3434194
2000-04-04,19.438642501831055,19.987682976256924,18.719661882437,19.24255566384866,5789836
2000-04-05,19.059545516967773,19.83081576346755,19.046472169475635,19.425570618979453,3439457
2000-04-06,19.5301513671875,19.843890739042756,19.09876330935785,19.09876330935785,2100654
2000-04-07,19.16411781311035,19.89617157251561,19.16411781311035,19.582432338539014,2991435
2000-04-10,19.399425506591797,19.84388682532719,19.19026533043395,19.216412022406633,2524278
2000-04-11,19.9615421295166,20.30142439501831,19.39943010621514,19.39943010621514,3530831
2000-04-12,19.791601181030273,20.562873474449567,19.791601181030273,20.353715145185788,2935702
2000-04-13,19.81774139404297,20.15762360057958,19.190266551206147,19.791596608924767,4966031
2000-04-14,18.994176864624023,19.726230664769496,18.471281293091547,19.673941107616248,7345354
2000-04-17,18.798093795776367,18.94188913758224,18.418993515529074,18.654296545453,3460746
2000-04-18,18.798093795776367,18.850383357981684,18.40592207923649,18.850383357981684,2893363
2000-04-19,18.915735244750977,19.216401036859278,18.64121612966794,18.745793295186157,1991579
2000-04-20,19.29484748840332,19.307918926627792,18.82424135900237,18.915747152127004,2372625
2000-04-24,20.366775512695312,20.419065066580416,19.08568144251034,19.08568144251034,4255607
2000-04-25,19.62165641784668,20.144552119089614,18.510504006964332,20.105333987237504,10816863
2000-04-26,18.602008819580078,19.55629437828995,18.275199977794042,19.55629437828995,8320094
2000-04-27,18.288267135620117,18.79809125240169,17.84380591701036,18.51049869918361,5782899
2000-04-28,18.11833381652832,18.314418767394503,17.98760987977822,18.28827398004448,3524612
2000-05-01,18.183687210083008,18.523569303192836,17.791515564187048,18.13139765729688,4157774
2000-05-02,18.183687210083008,18.314411092048324,17.90916801221441,17.9876023413936,2941203
2000-05-03,17.948394775390625,18.45821916906765,17.843815608330544,18.183697901275806,2924459
2000-05-04,17.869953155517578,18.340559216501635,17.72615781336453,18.026821842512266,3308375
2000-05-05,18.131399154663086,18.249051612406674,17.739227476379966,17.81766181203659,2842174
2000-05-08,18.262134552001953,18.353642288840366,17.883035978433256,18.353642288840366,2104960
2000-05-09,17.987606048583984,18.379777775305328,17.883026921458292,18.19676430283537,2331243
2000-05-10,17.97454071044922,18.09219323513438,17.73923756959728,18.039903648278393,2390086
2000-05-11,17.97454071044922,18.17062761541836,17.89610633016524,18.052975090733195,2807490
2000-05-12,17.752307891845703,17.987610992552533,17.673873524943428,17.830742258747982,2198726
2000-05-15,17.97454071044922,18.183699057873163,17.84381674330925,17.856890094282445,3151460
2000-05-16,18.83731460571289,19.09876248048052,17.896102256549423,18.026826193933235,4845474
2000-05-17,18.525226593017578,18.76205482300784,18.44628384968749,18.604169336347667,2622828
2000-05-18,18.327869415283203,18.65679848444063,18.31471325137882,18.564697653556767,1913122
2000-05-19,17.788429260253906,18.235771512819767,17.63054375934831,18.143670676847304,3288282
2000-05-22,17.72263526916504,17.972621501588268,17.55159367509659,17.84105030580962,3072046
2000-05-23,17.709484100341797,17.827897249466126,17.525284374346512,17.72264026318311,1827966
2000-05-24,18.5647029876709,18.683118101275518,17.893690413540874,17.893690413540874,3876236
2000-05-25,17.880521774291992,18.57785011409942,17.683165929255587,18.380492348175306,3005309
2000-05-26,17.683168411254883,18.18313905531379,17.683168411254883,17.933152772840348,2134382
2000-05-30,17.919994354248047,18.222607166571095,17.77526506769826,17.81473738980738,1881547
2000-05-31,18.051572799682617,18.380499985037556,18.051572799682617,18.13051555467442,2555852
2000-06-01,17.867374420166016,18.1173588698667,17.76211740536812,18.1173588698667,2432664
2000-06-02,17.74895477294922,18.262083549132083,17.683170115990894,18.209455055210157,3984594
2000-06-05,17.90683937072754,17.90683937072754,17.70948348870705,17.814740471354796,3234702
2000-06-06,17.327930450439453,17.893687839026803,17.275301945495915,17.893687839026803,3754483
2000-06-07,17.209514617919922,17.512127514182986,17.156886121101277,17.327927775317736,3799214
2000-06-08,17.209514617919922,17.262143114738564,16.93321404917791,17.24898503008977,2969907
2000-06-09,17.248979568481445,17.301608048636137,17.091094128017367,17.248979568481445,2566855
2000-06-12,17.25555992126465,17.643694511707,17.2358247199274,17.262138962006336,2417594
2000-06-13,17.235828399658203,17.53844128772783,17.18319990426451,17.18319990426451,2572835
2000-06-14,17.72263526916504,17.880520704099418,17.57790791425232,17.68316487087524,3287326
2000-06-15,18.196292877197266,18.393650645443916,17.73579461943464,17.74895077951096,4988994
2000-06-16,17.7752685546875,18.19629649504357,17.7752685546875,18.19629649504357,4595989
2000-06-19,17.57792091369629,17.99894905155196,17.459505789479874,17.867377758472063,2898386
2000-06-20,17.301618576049805,17.893690298488313,17.064790271252168,17.604233481513422,3348082
2000-06-21,18.156822204589844,18.209450685883656,17.696322032825137,17.788422835533158,3914030
2000-06-22,18.117361068725586,18.47260449722783,17.880532756687053,18.169989582511924,3346647
2000-06-23,17.7752685546875,17.867369377084447,17.696325815870736,17.867369377084447,1889202
2000-06-26,17.998947143554688,18.091046078503062,17.748960752758443,17.762118841116102,2660861
2000-06-27,18.235776901245117,18.498919480509517,18.143676038058093,18.209462643318677,3675069
2000-06-28,18.120643615722656,18.28839668984051,17.98578190765031,18.248924361342638,2524038
2000-06-29,18.01209831237793,18.27524079761677,17.722641578615207,17.788428160369055,3053149
